>>>>>>>>>> Start item : ../data/Leeds.mp4
::: Run time Settings : {'Config load': 1, 'Config update': {'General': 1, 'Visualizer': 1, 'Figure': 1, 'Heatmap': 1, 'System': 1, 'Calibration': 0, 'Detector': 1}, 'Config save': 1}
:::::: Start File Checking ...
:: Loading Data and Configrations ...
: Background Found.
: Satellite Map Found.
: Visual Map Found.
: Road Mask Found.
: Road Boarder Found.
::: Camera size : (1920, 1080), Region of Interest : (1920, 1080),  Environment size :(1028, 1048)

 <<< Model is running on CUDA GPU >>> 

::: Configration Saved.
type: person vehicle id: 2 position: 315 323
type: car vehicle id: 39 position: 1402 185
type: car vehicle id: 38 position: 788 126
type: car vehicle id: 37 position: 1030 215
type: person vehicle id: 36 position: 734 883
type: person vehicle id: 35 position: 534 550
type: person vehicle id: 34 position: 520 407
type: car vehicle id: 33 position: 938 179
type: car vehicle id: 32 position: 591 13
type: car vehicle id: 31 position: 571 88
type: person vehicle id: 30 position: 685 501
type: car vehicle id: 29 position: 687 65
type: person vehicle id: 28 position: 424 315
type: car vehicle id: 27 position: 793 217
type: person vehicle id: 26 position: 696 859
type: person vehicle id: 25 position: 386 324
type: person vehicle id: 24 position: 562 526
type: person vehicle id: 23 position: 294 302
type: person vehicle id: 22 position: 335 333
type: person vehicle id: 21 position: 593 518
type: person vehicle id: 20 position: 1368 296
type: person vehicle id: 19 position: 128 522
type: car vehicle id: 18 position: 32 122
type: car vehicle id: 17 position: 1854 330
type: person vehicle id: 16 position: 143 463
type: car vehicle id: 15 position: 460 21
type: person vehicle id: 14 position: 1271 279
type: truck vehicle id: 13 position: 1814 589
type: person vehicle id: 11 position: 1489 356
type: person vehicle id: 10 position: 171 244
type: person vehicle id: 9 position: 1440 336
type: person vehicle id: 8 position: 872 98
type: person vehicle id: 7 position: 426 243
type: person vehicle id: 6 position: 374 170
type: person vehicle id: 5 position: 1442 317
type: person vehicle id: 2 position: 315 323
type: person vehicle id: 42 position: 365 330
type: car vehicle id: 39 position: 1402 185
type: car vehicle id: 38 position: 790 127
type: car vehicle id: 37 position: 1030 215
type: person vehicle id: 36 position: 734 883
type: person vehicle id: 35 position: 532 549
type: person vehicle id: 34 position: 521 407
type: car vehicle id: 33 position: 936 179
type: car vehicle id: 32 position: 591 12
type: car vehicle id: 31 position: 572 85
type: person vehicle id: 30 position: 687 505
type: car vehicle id: 29 position: 687 65
type: person vehicle id: 28 position: 424 315
type: car vehicle id: 27 position: 791 219
type: person vehicle id: 26 position: 696 859
type: person vehicle id: 25 position: 387 323
type: person vehicle id: 24 position: 561 523
type: person vehicle id: 23 position: 293 303
type: person vehicle id: 22 position: 336 333
type: person vehicle id: 21 position: 587 521
type: person vehicle id: 20 position: 1369 294
type: person vehicle id: 19 position: 126 519
type: car vehicle id: 18 position: 32 122
type: car vehicle id: 17 position: 1854 331
type: person vehicle id: 16 position: 148 463
type: car vehicle id: 15 position: 461 21
type: person vehicle id: 14 position: 1273 279
type: person vehicle id: 11 position: 1489 357
type: person vehicle id: 10 position: 173 243
type: person vehicle id: 9 position: 1440 336
type: person vehicle id: 8 position: 872 96
type: person vehicle id: 7 position: 426 238
type: person vehicle id: 6 position: 374 169
type: person vehicle id: 5 position: 1443 318
type: person vehicle id: 42 position: 365 330
type: car vehicle id: 39 position: 1402 185
type: car vehicle id: 38 position: 791 129
type: car vehicle id: 37 position: 1030 215
type: person vehicle id: 36 position: 734 883
type: person vehicle id: 35 position: 531 549
type: person vehicle id: 34 position: 521 408
type: car vehicle id: 33 position: 936 179
type: car vehicle id: 32 position: 591 12
type: car vehicle id: 31 position: 572 83
type: person vehicle id: 30 position: 688 507
type: car vehicle id: 29 position: 687 65
type: person vehicle id: 28 position: 423 314
